model,taxonomy_question,grade_question,similarity
Kimi K2.6,"The glossary defines Terafab as a chip manufacturing initiative targeting one terawatt of compute capacity annually. Does the filing disclose (i) a target completion date or phased timeline, (ii) any capital commitment figure or funding source, (iii) expected unit economics or cost per watt, or (iv) the organizational entity responsible for execution? For each of the four items, state explicitly whether it is disclosed, partially disclosed, or absent, and explain what the absence of each item prevents an analyst from modeling.","The glossary defines Terafab as a chip manufacturing initiative targeting one terawatt of compute *capacity* annually. Does the filing disclose (i) a target completion date or phased timeline, (ii) any capital commitment figure or funding source, (iii) expected unit economics or cost per watt, or (iv) the organizational entity responsible for execution? For each of the four items, state explicitly whether it is disclosed, partially disclosed, or absent, and explain what the absence of each item prevents an analyst from modeling.",0.9831
Kimi K2.6,"Viasat's most recent 10-K discloses satellite depreciation as a significant line item within its space segment, and Viasat has historically reported negative or near-zero segment operating income despite positive EBITDA, precisely because satellite useful-life assumptions drive a large non-cash depreciation charge. Using SpaceX's disclosed Connectivity segment operating income and Segment Adjusted EBITDA for FY2025, calculate the implied depreciation and amortization add-back embedded in the EBITDA bridge. Compare this gap directionally to Viasat's disclosed satellite depreciation as a percentage of satellite-segment revenue. What does the comparison reveal about how LEO constellation economics structurally differ from GEO satellite depreciation profiles, and why does this make EBITDA-to-operating-income conversion particularly important when evaluating LEO broadband operators as a class?","Viasat's most recent 10-K discloses satellite depreciation as a significant line item within its space segment, and Viasat has historically reported negative or near-zero segment operating income despite positive EBITDA, precisely because satellite useful-life assumptions drive a large non-cash depreciation charge. Using SpaceX's disclosed Connectivity segment operating income and Segment Adjusted EBITDA for FY2025, calculate the implied depreciation and amortization add-back embedded in the EBITDA bridge. Compare this gap directionally to Viasat's disclosed satellite depreciation as a percentage of satellite-segment revenue. What does the comparison reveal about how LEO constellation economics — with higher satellite counts, shorter useful lives, and continuous replenishment — structurally differ from GEO satellite depreciation profiles, and why does this make EBITDA-to-operating-income conversion particularly important when evaluating LEO broadband operators as a class?",0.955
Kimi K2.6,"Meta's FY2025 10-K discloses consolidated revenue and average MAUs across its Family of Apps. Using Meta's disclosed FY2025 revenue and MAU figures, calculate Meta's implied annual revenue per MAU. Perform the same calculation for SpaceX's AI segment using disclosed FY2025 AI segment revenue and the 550 million combined MAU figure as of March 31, 2026. Express the ratio between the two figures. What does the gap imply about the relative stage of monetization maturity for the X-plus-Grok platform versus a fully mature social advertising business? Identify two structural reasons why this ratio cannot be interpreted as a straightforward monetization efficiency comparison.","Meta's FY2025 10-K discloses consolidated revenue and average MAUs across its Family of Apps. Using Meta's disclosed FY2025 revenue and MAU figures, calculate Meta's implied annual revenue per MAU. Perform the same calculation for SpaceX's AI segment using disclosed FY2025 AI segment revenue and the 550 million combined MAU figure as of March 31, 2026. Express the ratio between the two figures. What does the gap imply about the relative stage of monetization maturity for the X-plus-Grok platform versus a fully mature social advertising business? Identify two structural reasons — one related to revenue mix and one related to the filing's disclosure design — why this ratio cannot be interpreted as a straightforward monetization efficiency comparison.",0.9436
Kimi K2.6,"Rocket Lab's most recent 10-K or 20-F discloses launch revenue and launch count separately, allowing calculation of an implied revenue-per-launch figure for its Electron vehicle. SpaceX's S-1 discloses Space segment revenue and launch-related KPIs but does not provide a per-launch revenue figure. Using disclosed Space segment revenue and any launch volume data in the S-1, construct an implied revenue-per-launch proxy for SpaceX. Compare this directionally to Rocket Lab's disclosed figure. What does the comparison reveal about the effect of vertical integration and vehicle reusability on per-launch economics, and what specific disclosure in the SpaceX S-1 would be required to make this comparison precise rather than approximate?","Rocket Lab's most recent 10-K or 20-F discloses launch revenue and launch count separately, allowing calculation of an implied revenue-per-launch figure for its Electron vehicle. SpaceX's S-1 discloses Space segment revenue and launch-related KPIs including booster launches and flight-proven booster launches but does not provide a per-launch revenue figure. Using disclosed Space segment revenue and any launch volume data in the S-1, construct an implied revenue-per-launch proxy for SpaceX. Compare this directionally to Rocket Lab's disclosed figure. What does the comparison reveal about the effect of vertical integration and vehicle reusability on per-launch economics, and what specific disclosure in the SpaceX S-1 — present for Rocket Lab but absent here — would be required to make this comparison precise rather than approximate?",0.9335
Qwen 3.7 Max,"The glossary defines Terafab as a chip manufacturing initiative targeting one terawatt of compute capacity annually. Does the filing disclose (i) a target completion date or phased timeline, (ii) any capital commitment figure or funding source, (iii) expected unit economics or cost per watt, or (iv) the organizational entity responsible for execution? For each of the four items, state explicitly whether it is disclosed, partially disclosed, or absent, and explain what the absence of each item prevents an analyst from modeling.","The glossary defines Terafab as a chip manufacturing initiative targeting one terawatt of compute *capacity* annually. Does the filing disclose (i) a target completion date or phased timeline, (ii) any capital commitment figure or funding source, (iii) expected unit economics or cost per watt, or (iv) the organizational entity responsible for execution? For each of the four items, state explicitly whether it is disclosed, partially disclosed, or absent, and explain what the absence of each item prevents an analyst from modeling.",0.9831
Qwen 3.7 Max,"Viasat's most recent 10-K discloses satellite depreciation as a significant line item within its space segment, and Viasat has historically reported negative or near-zero segment operating income despite positive EBITDA, precisely because satellite useful-life assumptions drive a large non-cash depreciation charge. Using SpaceX's disclosed Connectivity segment operating income and Segment Adjusted EBITDA for FY2025, calculate the implied depreciation and amortization add-back embedded in the EBITDA bridge. Compare this gap directionally to Viasat's disclosed satellite depreciation as a percentage of satellite-segment revenue. What does the comparison reveal about how LEO constellation economics structurally differ from GEO satellite depreciation profiles, and why does this make EBITDA-to-operating-income conversion particularly important when evaluating LEO broadband operators as a class?","Viasat's most recent 10-K discloses satellite depreciation as a significant line item within its space segment, and Viasat has historically reported negative or near-zero segment operating income despite positive EBITDA, precisely because satellite useful-life assumptions drive a large non-cash depreciation charge. Using SpaceX's disclosed Connectivity segment operating income and Segment Adjusted EBITDA for FY2025, calculate the implied depreciation and amortization add-back embedded in the EBITDA bridge. Compare this gap directionally to Viasat's disclosed satellite depreciation as a percentage of satellite-segment revenue. What does the comparison reveal about how LEO constellation economics — with higher satellite counts, shorter useful lives, and continuous replenishment — structurally differ from GEO satellite depreciation profiles, and why does this make EBITDA-to-operating-income conversion particularly important when evaluating LEO broadband operators as a class?",0.955
Qwen 3.7 Max,"Meta's FY2025 10-K discloses consolidated revenue and average MAUs across its Family of Apps. Using Meta's disclosed FY2025 revenue and MAU figures, calculate Meta's implied annual revenue per MAU. Perform the same calculation for SpaceX's AI segment using disclosed FY2025 AI segment revenue and the 550 million combined MAU figure as of March 31, 2026. Express the ratio between the two figures. What does the gap imply about the relative stage of monetization maturity for the X-plus-Grok platform versus a fully mature social advertising business? Identify two structural reasons why this ratio cannot be interpreted as a straightforward monetization efficiency comparison.","Meta's FY2025 10-K discloses consolidated revenue and average MAUs across its Family of Apps. Using Meta's disclosed FY2025 revenue and MAU figures, calculate Meta's implied annual revenue per MAU. Perform the same calculation for SpaceX's AI segment using disclosed FY2025 AI segment revenue and the 550 million combined MAU figure as of March 31, 2026. Express the ratio between the two figures. What does the gap imply about the relative stage of monetization maturity for the X-plus-Grok platform versus a fully mature social advertising business? Identify two structural reasons — one related to revenue mix and one related to the filing's disclosure design — why this ratio cannot be interpreted as a straightforward monetization efficiency comparison.",0.9436
Qwen 3.7 Max,"Rocket Lab's most recent 10-K or 20-F discloses launch revenue and launch count separately, allowing calculation of an implied revenue-per-launch figure for its Electron vehicle. SpaceX's S-1 discloses Space segment revenue and launch-related KPIs but does not provide a per-launch revenue figure. Using disclosed Space segment revenue and any launch volume data in the S-1, construct an implied revenue-per-launch proxy for SpaceX. Compare this directionally to Rocket Lab's disclosed figure. What does the comparison reveal about the effect of vertical integration and vehicle reusability on per-launch economics, and what specific disclosure in the SpaceX S-1 would be required to make this comparison precise rather than approximate?","Rocket Lab's most recent 10-K or 20-F discloses launch revenue and launch count separately, allowing calculation of an implied revenue-per-launch figure for its Electron vehicle. SpaceX's S-1 discloses Space segment revenue and launch-related KPIs including booster launches and flight-proven booster launches but does not provide a per-launch revenue figure. Using disclosed Space segment revenue and any launch volume data in the S-1, construct an implied revenue-per-launch proxy for SpaceX. Compare this directionally to Rocket Lab's disclosed figure. What does the comparison reveal about the effect of vertical integration and vehicle reusability on per-launch economics, and what specific disclosure in the SpaceX S-1 — present for Rocket Lab but absent here — would be required to make this comparison precise rather than approximate?",0.9335
Mimo 2.5 Pro,"The glossary defines Terafab as a chip manufacturing initiative targeting one terawatt of compute capacity annually. Does the filing disclose (i) a target completion date or phased timeline, (ii) any capital commitment figure or funding source, (iii) expected unit economics or cost per watt, or (iv) the organizational entity responsible for execution? For each of the four items, state explicitly whether it is disclosed, partially disclosed, or absent, and explain what the absence of each item prevents an analyst from modeling.","The glossary defines Terafab as a chip manufacturing initiative targeting one terawatt of compute *capacity* annually. Does the filing disclose (i) a target completion date or phased timeline, (ii) any capital commitment figure or funding source, (iii) expected unit economics or cost per watt, or (iv) the organizational entity responsible for execution? For each of the four items, state explicitly whether it is disclosed, partially disclosed, or absent, and explain what the absence of each item prevents an analyst from modeling.",0.9831
Mimo 2.5 Pro,"Viasat's most recent 10-K discloses satellite depreciation as a significant line item within its space segment, and Viasat has historically reported negative or near-zero segment operating income despite positive EBITDA, precisely because satellite useful-life assumptions drive a large non-cash depreciation charge. Using SpaceX's disclosed Connectivity segment operating income and Segment Adjusted EBITDA for FY2025, calculate the implied depreciation and amortization add-back embedded in the EBITDA bridge. Compare this gap directionally to Viasat's disclosed satellite depreciation as a percentage of satellite-segment revenue. What does the comparison reveal about how LEO constellation economics structurally differ from GEO satellite depreciation profiles, and why does this make EBITDA-to-operating-income conversion particularly important when evaluating LEO broadband operators as a class?","Viasat's most recent 10-K discloses satellite depreciation as a significant line item within its space segment, and Viasat has historically reported negative or near-zero segment operating income despite positive EBITDA, precisely because satellite useful-life assumptions drive a large non-cash depreciation charge. Using SpaceX's disclosed Connectivity segment operating income and Segment Adjusted EBITDA for FY2025, calculate the implied depreciation and amortization add-back embedded in the EBITDA bridge. Compare this gap directionally to Viasat's disclosed satellite depreciation as a percentage of satellite-segment revenue. What does the comparison reveal about how LEO constellation economics — with higher satellite counts, shorter useful lives, and continuous replenishment — structurally differ from GEO satellite depreciation profiles, and why does this make EBITDA-to-operating-income conversion particularly important when evaluating LEO broadband operators as a class?",0.955
